datetime,netload,load,pv,temp,irradiance,month_x,month_y,day_x,day_y,hour_x,hour_y
2012-07-07 22:00:00,1.133,1.133,0.0,23.57,0.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384
2012-07-07 23:00:00,1.925,1.925,0.0,23.3,0.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,-0.25881904510252157,0.9659258262890681
2012-07-08 00:00:00,1.677,1.677,0.0,23.02,0.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,1.0
2012-07-08 01:00:00,1.528,1.528,0.0,22.24,0.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.25881904510252074,0.9659258262890683
2012-07-08 02:00:00,1.29,1.29,0.0,21.46,0.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.49999999999999994,0.8660254037844387
2012-07-08 03:00:00,1.095,1.095,0.0,20.68,0.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.7071067811865475,0.7071067811865476
2012-07-08 04:00:00,0.662,0.662,0.0,20.94,0.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.8660254037844386,0.5000000000000001
2012-07-08 05:00:00,0.865,0.865,0.0,21.2,63.57,1.2246467991473532e-16,-1.0,0.0,1.0,0.9659258262890682,0.25881904510252096
2012-07-08 06:00:00,0.773,0.8,0.02668,21.46,196.99,1.2246467991473532e-16,-1.0,0.0,1.0,1.0,6.123233995736766e-17
2012-07-08 07:00:00,0.847,0.927,0.08,23.65,365.89,1.2246467991473532e-16,-1.0,0.0,1.0,0.9659258262890683,-0.25881904510252063
2012-07-08 08:00:00,0.701,0.774,0.07332,25.83,604.68,1.2246467991473532e-16,-1.0,0.0,1.0,0.8660254037844387,-0.4999999999999998
2012-07-08 09:00:00,0.807,0.94,0.13332,28.02,789.33,1.2246467991473532e-16,-1.0,0.0,1.0,0.7071067811865476,-0.7071067811865475
2012-07-08 10:00:00,0.417,0.804,0.3866799999999999,29.04,894.4,1.2246467991473532e-16,-1.0,0.0,1.0,0.5000000000000003,-0.8660254037844385
2012-07-08 11:00:00,0.656,1.209,0.55332,30.06,981.26,1.2246467991473532e-16,-1.0,0.0,1.0,0.258819045102521,-0.9659258262890682
2012-07-08 12:00:00,1.551,2.191,0.64,31.08,956.02,1.2246467991473532e-16,-1.0,0.0,1.0,1.2246467991473532e-16,-1.0
2012-07-08 13:00:00,3.326,3.973,0.64668,30.94,826.45,1.2246467991473532e-16,-1.0,0.0,1.0,-0.25881904510252035,-0.9659258262890684
2012-07-08 14:00:00,1.485,2.185,0.7,30.8,724.7,1.2246467991473532e-16,-1.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
