,pv-rmse,load-rmse,hb-pv-rmse,hb-load-rmse
full-year,6.59,1.9,,
day-only,7.92,2.34,,
6-month,6.76,2.06,6.48,2.09
season,5.76,1.67,7.38,2.17
2-month,5.69,1.89,7.0,4.51
1-month,8.65,2.83,8.02,4.19
2-week,8.86,3.09,10.31,6.63
1-week,9.2,3.07,15.95,14.62
