time,irradiance,temp,wind
20130101:0010,0.0,7.66,2.97
20130101:0110,0.0,7.25,2.97
20130101:0210,0.0,6.84,2.97
20130101:0310,0.0,6.43,2.97
20130101:0410,0.0,6.33,2.88
20130101:0510,0.0,6.24,2.8
20130101:0610,0.0,6.14,2.72
20130101:0710,0.0,6.41,2.4
20130101:0810,116.61,6.68,2.07
20130101:0910,58.06,6.95,1.75
20130101:1010,128.97,7.3,1.51
20130101:1110,170.92,7.64,1.27
20130101:1210,130.73,7.99,1.03
20130101:1310,96.76,8.12,1.05
20130101:1410,47.92,8.24,1.06
20130101:1510,27.7,8.37,1.08
20130101:1610,0.0,8.05,0.87
20130101:1710,0.0,7.73,0.67
20130101:1810,0.0,7.41,0.47
20130101:1910,0.0,7.14,0.55
20130101:2010,0.0,6.87,0.63
20130101:2110,0.0,6.6,0.72
20130101:2210,0.0,6.5,0.96
20130101:2310,0.0,6.41,1.2
20130102:0010,0.0,6.32,1.45
20130102:0110,0.0,5.78,1.64
20130102:0210,0.0,5.24,1.83
20130102:0310,0.0,4.69,2.03
20130102:0410,0.0,4.38,2.23
20130102:0510,0.0,4.07,2.42
20130102:0610,0.0,3.76,2.62
20130102:0710,0.0,3.97,2.69
20130102:0810,166.88,4.17,2.76
20130102:0910,379.76,4.38,2.83
20130102:1010,63.59,4.82,3.27
20130102:1110,95.84,5.26,3.72
20130102:1210,341.59,5.7,4.17
20130102:1310,236.85,5.92,3.98
20130102:1410,47.0,6.14,3.79
20130102:1510,38.95,6.36,3.6
20130102:1610,0.0,5.63,3.13
20130102:1710,0.0,4.89,2.65
20130102:1810,0.0,4.16,2.18
20130102:1910,0.0,3.71,2.2
20130102:2010,0.0,3.26,2.23
20130102:2110,0.0,2.82,2.25
20130102:2210,0.0,2.62,2.17
20130102:2310,0.0,2.43,2.09
20130103:0010,0.0,2.23,2.01
20130103:0110,0.0,2.18,1.77
20130103:0210,0.0,2.13,1.52
20130103:0310,0.0,2.08,1.27
20130103:0410,0.0,1.92,1.31
20130103:0510,0.0,1.75,1.34
20130103:0610,0.0,1.59,1.38
20130103:0710,0.0,2.26,1.19
20130103:0810,339.09,2.94,1.0
20130103:0910,623.81,3.61,0.81
20130103:1010,822.29,5.2,1.09
20130103:1110,883.54,6.78,1.37
20130103:1210,847.88,8.36,1.64
20130103:1310,744.07,8.4,1.6
20130103:1410,527.6,8.44,1.57
20130103:1510,33.76,8.48,1.53
20130103:1610,0.0,7.82,1.75
20130103:1710,0.0,7.17,1.96
20130103:1810,0.0,6.51,2.18
20130103:1910,0.0,6.35,2.14
20130103:2010,0.0,6.19,2.11
20130103:2110,0.0,6.03,2.07
20130103:2210,0.0,6.11,2.02
20130103:2310,0.0,6.2,1.98
20130104:0010,0.0,6.28,1.93
20130104:0110,0.0,6.45,2.03
20130104:0210,0.0,6.62,2.12
20130104:0310,0.0,6.79,2.22
20130104:0410,0.0,6.74,2.17
20130104:0510,0.0,6.7,2.12
20130104:0610,0.0,6.65,2.07
20130104:0710,0.0,7.04,1.94
20130104:0810,377.15,7.42,1.81
20130104:0910,610.57,7.81,1.68
20130104:1010,822.88,8.67,1.91
20130104:1110,871.06,9.52,2.14
20130104:1210,835.29,10.38,2.37
