time,irradiance,temp,wind
20120107:2310,0.0,6.57,1.43
20120108:0010,0.0,6.65,1.77
20120108:0110,0.0,6.39,1.57
20120108:0210,0.0,6.13,1.38
20120108:0310,0.0,5.86,1.19
20120108:0410,0.0,5.69,1.3
20120108:0510,0.0,5.52,1.41
20120108:0610,0.0,5.35,1.52
20120108:0710,0.0,5.54,1.56
20120108:0810,40.06,5.73,1.61
20120108:0910,122.49,5.92,1.66
20120108:1010,124.44,6.34,2.07
20120108:1110,172.74,6.75,2.48
20120108:1210,90.92,7.17,2.9
20120108:1310,368.82,7.07,2.97
20120108:1410,405.71,6.96,3.04
20120108:1510,43.03,6.86,3.12
20120108:1610,0.0,6.17,2.79
20120108:1710,0.0,5.49,2.46
20120108:1810,0.0,4.8,2.14
20120108:1910,0.0,4.51,2.17
20120108:2010,0.0,4.22,2.21
20120108:2110,0.0,3.94,2.25
20120108:2210,0.0,3.9,2.42
20120108:2310,0.0,3.87,2.6
20120109:0010,0.0,3.83,2.77
20120109:0110,0.0,3.75,2.59
20120109:0210,0.0,3.66,2.4
20120109:0310,0.0,3.57,2.22
20120109:0410,0.0,3.4,2.03
20120109:0510,0.0,3.22,1.84
20120109:0610,0.0,3.05,1.66
20120109:0710,0.0,3.28,1.82
20120109:0810,296.94,3.52,1.99
20120109:0910,565.17,3.75,2.15
20120109:1010,776.79,4.63,2.34
20120109:1110,721.76,5.5,2.52
20120109:1210,660.89,6.37,2.7
20120109:1310,710.23,6.8,2.69
20120109:1410,484.38,7.23,2.68
20120109:1510,38.73,7.66,2.66
20120109:1610,0.0,7.02,2.59
20120109:1710,0.0,6.38,2.52
20120109:1810,0.0,5.74,2.46
20120109:1910,0.0,5.45,2.43
20120109:2010,0.0,5.16,2.41
20120109:2110,0.0,4.87,2.39
20120109:2210,0.0,4.86,2.35
20120109:2310,0.0,4.85,2.31
20120110:0010,0.0,4.84,2.28
20120110:0110,0.0,4.83,2.18
20120110:0210,0.0,4.82,2.08
20120110:0310,0.0,4.81,1.99
20120110:0410,0.0,4.79,2.06
20120110:0510,0.0,4.77,2.14
20120110:0610,0.0,4.75,2.22
20120110:0710,0.0,5.07,2.06
20120110:0810,359.25,5.4,1.91
20120110:0910,632.07,5.72,1.75
20120110:1010,770.65,6.61,1.92
20120110:1110,849.3,7.49,2.09
20120110:1210,850.31,8.37,2.26
20120110:1310,759.68,8.86,2.18
20120110:1410,586.47,9.35,2.1
20120110:1510,30.98,9.84,2.01
20120110:1610,0.0,8.78,2.04
20120110:1710,0.0,7.71,2.07
20120110:1810,0.0,6.65,2.1
20120110:1910,0.0,5.9,1.88
20120110:2010,0.0,5.15,1.66
20120110:2110,0.0,4.4,1.43
20120110:2210,0.0,4.07,1.07
20120110:2310,0.0,3.75,0.71
20120111:0010,0.0,3.43,0.34
20120111:0110,0.0,3.3,0.39
20120111:0210,0.0,3.16,0.44
20120111:0310,0.0,3.02,0.48
20120111:0410,0.0,3.05,0.59
20120111:0510,0.0,3.09,0.69
20120111:0610,0.0,3.12,0.8
20120111:0710,0.0,3.79,0.85
20120111:0810,350.03,4.47,0.89
20120111:0910,627.96,5.14,0.94
20120111:1010,779.53,6.82,0.69
20120111:1110,851.91,8.49,0.45
20120111:1210,845.89,10.16,0.21
20120111:1310,783.85,10.48,0.46
20120111:1410,601.79,10.79,0.71
20120111:1510,30.12,11.11,0.97
20120111:1610,0.0,9.34,0.75
20120111:1710,0.0,7.57,0.53
