time,irradiance,h_sun,temp,wind
20160106:1810,0.0,0.0,4.26,1.08
20160106:1910,0.0,0.0,4.1,0.86
20160106:2010,0.0,0.0,3.95,0.65
20160106:2110,0.0,0.0,3.8,0.44
20160106:2210,0.0,0.0,3.68,0.39
20160106:2310,0.0,0.0,3.56,0.33
20160107:0010,0.0,0.0,3.44,0.28
20160107:0110,0.0,0.0,3.45,0.6
20160107:0210,0.0,0.0,3.46,0.93
20160107:0310,0.0,0.0,3.47,1.26
20160107:0410,0.0,0.0,4.05,1.7
20160107:0510,0.0,0.0,4.64,2.14
20160107:0610,0.0,0.0,5.22,2.58
20160107:0710,0.0,0.0,5.77,2.73
20160107:0810,0.0,0.0,6.33,2.88
20160107:0910,0.0,0.0,6.88,3.03
20160107:1010,0.0,0.0,7.82,2.99
20160107:1110,0.0,0.0,8.76,2.94
20160107:1210,0.0,0.0,9.7,2.9
20160107:1310,0.0,0.0,9.97,2.53
20160107:1410,0.0,0.0,10.25,2.17
20160107:1510,20.31,7.6,10.52,1.81
20160107:1610,0.0,0.0,9.99,1.89
20160107:1710,0.0,0.0,9.46,1.96
20160107:1810,0.0,0.0,8.93,2.04
20160107:1910,0.0,0.0,8.3,2.04
20160107:2010,0.0,0.0,7.67,2.03
20160107:2110,0.0,0.0,7.05,2.03
20160107:2210,0.0,0.0,6.45,1.42
20160107:2310,0.0,0.0,5.86,0.8
20160108:0010,0.0,0.0,5.27,0.19
20160108:0110,0.0,0.0,5.47,0.2
20160108:0210,0.0,0.0,5.66,0.21
20160108:0310,0.0,0.0,5.85,0.22
20160108:0410,0.0,0.0,5.73,0.2
20160108:0510,0.0,0.0,5.62,0.17
20160108:0610,0.0,0.0,5.5,0.15
20160108:0710,0.0,0.0,6.12,0.49
20160108:0810,14.93,6.98,6.74,0.82
20160108:0910,129.19,14.09,7.36,1.16
20160108:1010,13.11,19.3,8.61,1.59
20160108:1110,0.0,0.0,9.86,2.02
20160108:1210,0.0,0.0,11.11,2.46
20160108:1310,0.0,0.0,11.26,2.34
20160108:1410,0.0,0.0,11.4,2.23
20160108:1510,0.0,0.0,11.55,2.11
20160108:1610,0.0,0.0,11.19,1.98
20160108:1710,0.0,0.0,10.82,1.85
20160108:1810,0.0,0.0,10.46,1.72
20160108:1910,0.0,0.0,10.46,1.75
20160108:2010,0.0,0.0,10.47,1.78
20160108:2110,0.0,0.0,10.48,1.81
20160108:2210,0.0,0.0,10.47,1.78
20160108:2310,0.0,0.0,10.47,1.75
20160109:0010,0.0,0.0,10.46,1.72
20160109:0110,0.0,0.0,10.35,1.68
20160109:0210,0.0,0.0,10.24,1.63
20160109:0310,0.0,0.0,10.12,1.59
20160109:0410,0.0,0.0,9.89,1.44
20160109:0510,0.0,0.0,9.67,1.29
20160109:0610,0.0,0.0,9.44,1.14
20160109:0710,0.0,0.0,9.69,1.14
20160109:0810,25.82,7.04,9.93,1.13
20160109:0910,28.9,14.17,10.18,1.12
20160109:1010,55.01,19.4,10.34,1.2
20160109:1110,94.03,22.26,10.5,1.27
20160109:1210,88.58,22.42,10.66,1.35
20160109:1310,154.69,19.86,11.09,1.44
20160109:1410,227.38,14.87,11.52,1.54
20160109:1510,51.21,7.93,11.95,1.63
20160109:1610,0.0,0.0,11.18,1.49
20160109:1710,0.0,0.0,10.42,1.36
20160109:1810,0.0,0.0,9.65,1.23
20160109:1910,0.0,0.0,9.83,1.61
20160109:2010,0.0,0.0,10.02,2.0
20160109:2110,0.0,0.0,10.21,2.39
20160109:2210,0.0,0.0,10.34,2.41
20160109:2310,0.0,0.0,10.48,2.44
20160110:0010,0.0,0.0,10.62,2.47
20160110:0110,0.0,0.0,10.11,2.31
20160110:0210,0.0,0.0,9.59,2.15
20160110:0310,0.0,0.0,9.07,1.99
20160110:0410,0.0,0.0,8.89,1.98
20160110:0510,0.0,0.0,8.72,1.97
20160110:0610,0.0,0.0,8.54,1.96
20160110:0710,0.0,0.0,8.62,2.09
20160110:0810,42.31,7.1,8.7,2.22
20160110:0910,132.99,14.26,8.78,2.34
20160110:1010,121.24,19.51,9.23,2.89
20160110:1110,64.34,22.39,9.68,3.43
20160110:1210,53.15,22.57,10.13,3.97
20160110:1310,35.43,20.02,10.51,3.9
20160110:1410,22.38,15.05,10.89,3.83
20160110:1510,16.78,8.11,11.27,3.77
20160110:1610,0.0,0.0,10.96,3.34
20160110:1710,0.0,0.0,10.64,2.92
20160110:1810,0.0,0.0,10.33,2.5
20160110:1910,0.0,0.0,10.04,2.35
20160110:2010,0.0,0.0,9.75,2.2
20160110:2110,0.0,0.0,9.47,2.06
20160110:2210,0.0,0.0,9.65,2.56
20160110:2310,0.0,0.0,9.83,3.07
20160111:0010,0.0,0.0,10.01,3.57
20160111:0110,0.0,0.0,10.08,4.18
20160111:0210,0.0,0.0,10.15,4.8
20160111:0310,0.0,0.0,10.22,5.41
20160111:0410,0.0,0.0,10.41,5.04
20160111:0510,0.0,0.0,10.61,4.68
20160111:0610,0.0,0.0,10.8,4.32
20160111:0710,0.0,0.0,10.66,4.23
20160111:0810,253.2,7.18,10.53,4.15
20160111:0910,518.02,14.35,10.39,4.07
20160111:1010,589.14,19.63,10.38,4.4
20160111:1110,46.62,22.53,10.37,4.74
20160111:1210,88.97,22.73,10.36,5.08
20160111:1310,93.24,20.19,9.74,4.82
20160111:1410,100.2,15.22,9.12,4.57
20160111:1510,23.84,8.28,8.5,4.32
20160111:1610,0.0,0.0,7.87,3.9
20160111:1710,0.0,0.0,7.24,3.48
20160111:1810,0.0,0.0,6.61,3.06
20160111:1910,0.0,0.0,6.45,3.18
20160111:2010,0.0,0.0,6.29,3.3
20160111:2110,0.0,0.0,6.14,3.42
20160111:2210,0.0,0.0,6.15,3.6
20160111:2310,0.0,0.0,6.17,3.79
