,score
MSE,0.013366169872738067
MASE,0.9141343321344755
MAPE,0.5811282071200284
RMSE,0.11561215278999896
NRMSE,0.8188382053529258
QuantileLoss[0.9],10.619601760285196
Coverage[0.9],0.6577380952380952
AVE[0.9],-0.2422619047619048
wQuantileLoss[0.9],0.2238533319498517
