,score
MSE,0.011928007716224306
MASE,0.8666193307015053
MAPE,0.6210122156624842
RMSE,0.10921541885752353
NRMSE,0.7735324999665502
QuantileLoss[0.9],11.707495613081846
Coverage[0.9],0.8125
AVE[0.9],-0.08750000000000002
wQuantileLoss[0.9],0.2467853278244081
