,score
MSE,0.009927170617239816
MASE,0.7972678975166122
MAPE,0.5340365785540957
RMSE,0.09963518764593067
NRMSE,0.705679258392405
QuantileLoss[0.9],9.371319497178773
Coverage[0.9],0.9047619047619048
AVE[0.9],0.004761904761904745
wQuantileLoss[0.9],0.19754046729467373
